BookTitle,Author,clean_summary
A Clockwork Orange,Anthony Burgess,alex a teenager living in near future england leads his gang on nightly orgies of opportunistic random ultra violence alexs friends droogs in the novels anglo russian slang nadsat are dim a slow witted bruiser who is the gangs muscle georgie an ambitious second in command and pete who mostly plays along as the droogs indulge their taste for ultra violence characterized as a sociopath and a hardened juvenile delinquent alex is also intelligent and quick witted with sophisticated taste in music being particularly fond of beethoven or lovely ludwig van the novel begins with the droogs sitting in their favorite hangout the korova milkbar drinking milk drug cocktails called milk plus to hype themselves for the nights mayhem they assault a scholar walking home from the public library rob a store leaving the owner and his wife bloodied and unconscious stomp a panhandling derelict then scuffle with a rival gang joyriding through the countryside in a stolen car they break into an isolated cottage and maul the young couple living there beating the husband and raping his wife in a metafictional touch the husband is a writer working on a manuscript called a clockwork orange and alex contemptuously reads out a paragraph that states the novels main theme before shredding the manuscript back at the milk bar alex punishes dim for some crude behaviour and strains within the gang become apparent at home in his dreary flat alex plays classical music at top volume while fantasizing of even more orgiastic violence alex skips school the next day following an unexpected visit from p r deltoid his post corrective advisor alex meets a pair of ten year old girls and takes them back to his parents flat where he administers hard drugs and then rapes them that evening alex finds his droogs in a mutinous mood georgie challenges alex for leadership of the gang demanding that they pull a man sized job alex quells the rebellion by slashing dims hand and fighting with georgie then in a show of generosity takes them to a bar where alex insists on following through on georgies idea to burgle the home of a wealthy old woman the break in starts as farce and ends in tragic pathos as alexs attack kills the elderly woman his escape is blocked by dim who attacks alex leaving him incapacitated on the front step as the police arrive sentenced to prison for murder alex gets a job at the wing chapel playing religious music on the stereo before and after services as well as during the singing of hymns the prison chaplain mistakes alexs bible studies for stirrings of faith alex is actually reading scripture for the violent passages after alexs fellow cellmates blame him for beating a troublesome cellmate to death he agrees to undergo an experimental behaviour modification treatment called the ludovico technique the technique is a form of aversion therapy in which alex receives an injection that makes him feel sick while watching graphically violent films eventually conditioning him to suffer crippling bouts of nausea at the mere thought of violence as an unintended consequence the soundtrack to one of the films beethovens fifth symphony renders alex unable to listen to his beloved classical music the effectiveness of the technique is demonstrated to a group of vips who watch as alex collapses before a walloping bully and abases himself before a scantily clad young woman whose presence has aroused his predatory sexual inclinations though the prison chaplain accuses the state of stripping alex of free will the government officials on the scene are pleased with the results and alex is released into society since his parents are now renting his room to a lodger alex wanders the streets and enters a public library where he hopes to learn a painless way to commit suicide there he accidentally encounters the old scholar he assaulted earlier in the book who keen on revenge beats alex with the help of his friends the policemen who come to alexs rescue turn out to be none other than dim and former gang rival billyboy the two policemen take alex outside of town and beat him up dazed and bloodied alex collapses at the door of an isolated cottage realizing too late that it is the house he and his droogs invaded in the first half of the story because the gang wore masks during the assault the writer does not recognize alex the writer whose name is revealed as f alexander shelters alex and questions him about the conditioning during this sequence it is revealed that mrs alexander died from the injuries inflicted during the gang rape and her husband has decided to continue living where her fragrant memory persists despite the horrid memories alexander a critic of the government hopes to use alex as a symbol of state brutality and thereby prevent the incumbent government from being re elected eventually he begins to realize alexs role in the happenings of the night two years ago one of alexanders radical associates manages to extract a confession from alex after removing him from f alexanders home and then locks him in a flatblock near his former home alex is then subjected to a relentless barrage of classical music prompting him to attempt suicide by leaping from a high window alex wakes up in hospital where he is courted by government officials anxious to counter the bad publicity created by his suicide attempt with alexander safely packed off to a mental institution alex is offered a well paying job if he agrees to side with the government as photographers snap pictures alex daydreams of orgiastic violence and realizes the ludovico conditioning has been reversed i was cured all right in the final chapter alex has a new trio of droogs but he finds he is beginning to outgrow his taste for violence a chance encounter with pete now married and settled down inspires alex to seek a wife and family of his own he contemplates the likelihood of his future son being a delinquent as he was a prospect alex views fatalistically
The Plague,Albert Camus,the text of the plague is divided into five parts in the town of oran thousands of rats initially unnoticed by the populace begin to die in the streets a hysteria develops soon afterward causing the local newspapers to report the incident authorities responding to public pressure order the collection and cremation of the rats unaware that the collection itself was the catalyst for the spread of the bubonic plague the main character dr bernard rieux lives comfortably in an apartment building when strangely the buildings concierge m michel a confidante dies from a fever dr rieux consults his colleague castel about the illness until they come to the conclusion that a plague is sweeping the town they both approach fellow doctors and town authorities about their theory but are eventually dismissed on the basis of one death however as more and more deaths quickly ensue it becomes apparent that there is an epidemic authorities including the prefect m othon are slow to accept that the situation is serious and quibble over the appropriate action to take official notices enacting control measures are posted but the language used is optimistic and downplays the seriousness of the situation a special ward is opened at the hospital but its beds are filled within three days as the death toll begins to rise more desperate measures are taken homes are quarantined corpses and burials are strictly supervised a supply of plague serum finally arrives but there is only enough to treat existing cases and the countrys emergency reserves are depleted when the daily number of deaths jumps to the town is sealed and an outbreak of plague is officially declared the town is sealed off the town gates are shut rail travel is prohibited and all mail service is suspended the use of telephone lines is restricted only to urgent calls leaving short telegrams as the only means of communicating with friends or family outside the town the separation affects daily activity and depresses the spirit of the townspeople who begin to feel isolated and introverted and the plague begins to affect various characters one character raymond rambert devises a plan to escape the city to join his lover in paris after city officials refuse his request to leave he befriends some criminals so that they may smuggle him out of the city another character father paneloux uses the plague as an opportunity to advance his stature in the town by suggesting that the plague was an act of god punishing the citizens sinful nature his diatribe falls on the ears of many citizens of the town who turned to religion in droves but would not have done so under normal circumstances cottard a criminal remorseful enough to attempt suicide yet fearful of being arrested becomes wealthy as a major smuggler meanwhile dr rieux a vacationer jean tarrou and a civil servant joseph grand exhaustively treat patients in their homes and in the hospital rambert informs tarrou of his escape plan but when tarrou tells him that others in the city including dr rieux also have loved ones outside the city whom they are not allowed to see rambert becomes sympathetic and changes his mind he then decides to join tarrou and dr rieux to help fight the epidemic in mid august the situation continues to worsen people try to escape the town but some are shot by armed sentries violence and looting break out on a small scale and the authorities respond by declaring martial law and imposing a curfew funerals are conducted with more and more speed no ceremony and little concern for the feelings of the families of the deceased the inhabitants passively endure their increasing feelings of exile and separation despondent they waste away emotionally as well as physically in september and october the town remains at the mercy of the plague rieux hears from the sanatorium that his wifes condition is worsening he also hardens his heart regarding the plague victims so that he can continue to do his work cottard on the other hand seems to flourish during the plague because it gives him a sense of being connected to others since everybody faces the same danger cottard and tarrou attend a performance of glucks opera orpheus and eurydice but the actor portraying orpheus collapses with plague symptoms during the performance rambert finally has a chance to escape but he decides to stay saying that he would feel ashamed of himself if he left towards the end of october castels new anti plague serum is tried for the first time but it cannot save the life of othons young son who suffers greatly as paneloux rieux and tarrou look on in horror paneloux who has joined the group of volunteers fighting the plague gives a second sermon he addresses the problem of an innocent childs suffering and says it is a test of a christians faith since it requires him either to deny everything or believe everything he urges the congregation not to give up the struggle but to do everything possible to fight the plague a few days after the sermon paneloux is taken ill his symptoms do not conform to those of the plague but the disease still proves fatal tarrou and rambert visit one of the isolation camps where they meet othon when othons period of quarantine ends he elects to stay in the camp as a volunteer because this will make him feel less separated from his dead son tarrou tells rieux the story of his life and the two men go swimming together in the sea grand catches the plague and instructs rieux to burn all his papers but grand makes an unexpected recovery and deaths from the plague start to decline by late january the plague is in full retreat and the townspeople begin to celebrate the imminent opening of the town gates othon however does not escape death from the disease cottard is distressed by the ending of the epidemic from which he has profited by shady dealings two government employees approach him and he flees despite the epidemics ending tarrou contracts the plague and dies after an heroic struggle rieuxs wife also dies in february the town gates open and people are reunited with their loved ones from other cities rambert is reunited with his wife rieux reveals that he is the narrator of the chronicle and that he tried to present an objective view of the events cottard goes mad and shoots at people from his home he is arrested grand begins working on his sentence again rieux reflects on the epidemic and reaches the conclusion that there is more to admire than to despise in humans
A Fire Upon the Deep,Vernor Vinge,the novel posits that space around the milky way is divided into concentric layers called zones each being constrained by different laws of physics and each allowing for different degrees of biological and technological advancement the innermost the unthinking depths surrounds the galactic core and is incapable of supporting advanced life forms at all the next layer the slow zone is roughly equivalent to the real world in behavior and potential further out the zone named the beyond can support futuristic technologies such as ai and ftl travel the outermost zone the transcend contains most of the galactic halo and is populated by incomprehensibly vast and powerful posthuman entities a human expedition investigates a five billion year old data archive that offers the possibility of unimaginable riches for the ambitious young civilization of the straumli realm the expeditions facility called high lab is gradually compromised by a dormant super intelligent entity actually encoded within the archive later known as the blight the blight rapidly learns how to infiltrate and control the computer systems of high lab and even develops the ability to possess and control the living humans the novel starts with an imaginative description of the evolution of this superintelligence through exponentially accelerating developmental stages culminating in a transcendent nigh omnipotent power that is unfathomable to mere humans shortly before its final flowering the changes in a single minute of the blights life are said to exceed those of years of human civilization recognizing the danger of what they have awakened the researchers at high lab attempt to flee in two ships suspicious the blight discovers that one of the ships contains a data storage device in its cargo manifest assuming it contains information that could harm it the blight destroys the ship the second ship is allowed to escape unharmed as the blight assumes that it is no threat but later realizes that it actually held a countermeasure one of the few things in the universe that the blight fears the ship lands on a distant planet with a medieval level civilization of dog like creatures dubbed tines who live in packs as group minds the ship is revealed to be a sleeper ship carrying most of high labs children in coldsleep boxes the boxes are rapidly failing and the surviving adults begin unloading them but are killed when one of two rival forces of tines seize the ship the faction that initially contacts the humans led by a tine known as steel kills the adults and destroys many of the coldsleep boxes they also capture a boy named jefri olsndot whom steel intended on killing but eventually exploits in order to develop advanced technology such as cannon and radio communication jefris older sister johanna is rescued by pilgrim and scriber wandering tines who bring her to the rival faction led by woodcarver she is asked to help develop technology that could gain the upper hand in the impending war a distress signal from the sleeper ship eventually reaches relay a major node in the galactic communications network a benign transcendent entity known as a power named old one contacts relay seeking information about the blight and the humans who released it old one constructs a seemingly human man pham nuwen to act as its agent pham and ravna bergsndot a human employee of relays owners the wealthy vrinimi organization trace the sleeper ships signal to the tines world old one designs a vessel the out of band ii to reach the tines world and to investigate what the ship carried with it from the high lab the blight attacks relay and old one old one gives pham the information necessary to activate the blight countermeasure while dying a process known as godshatter and pham and ravna escape relays destruction in the out of band ii after arriving at the tines homeworld and allying with woodcarver to defeat steel pham initiates the countermeasure which extends the slow zone by thousands of light years to enclose the blight this ends the threat of the blight at the cost of wrecking thousands of uninvolved civilizations causing trillions of deaths and potentially the extinction of several galactic races the process also kills pham and strands the other humans on the tines world now in the depths of the slow zone where rescue by an advanced civilization is impossible
All Quiet on the Western Front,Erich Maria Remarque,the book tells the story of paul b umer a german soldier who urged on by his school teacher joins the german army shortly after the start of world war i b umer arrives at the western front with his friends and schoolmates tjaden m ller kropp and a number of other characters there they meet stanislaus katczinsky an older soldier nicknamed kat who becomes pauls mentor while fighting at the front b umer and his comrades have to engage in frequent battles and endure the dangerous and often dirty conditions of warfare at the very beginning of the book erich maria remarque says this book is to be neither an accusation nor a confession and least of all an adventure for death is not an adventure to those who stand face to face with it it will try simply to tell of a generation of men who even though they may have escaped shells were destroyed by the war the book does not focus on heroic stories of bravery but rather gives a view of the conditions in which the soldiers find themselves the monotony between battles the constant threat of artillery fire and bombardments the struggle to find food the lack of training of young recruits meaning lower chances of survival and the overarching role of random chance in the lives and deaths of the soldiers are described in detail the battles fought here have no names and seem to have little overall significance except for the impending possibility of injury or death for b umer and his comrades only pitifully small pieces of land are gained about the size of a football field which are often lost again later remarque often refers to the living soldiers as old and dead emotionally drained and shaken we are not youth any longer we dont want to take the world by storm we are fleeing from ourselves from our life we were eighteen and had begun to love life and the world and we had to shoot it to pieces pauls visit on leave to his home highlights the cost of the war on his psyche the town has not changed since he went off to war however he finds that he does not belong here anymore it is a foreign world he feels disconnected from most of the townspeople his father asks him stupid and distressing questions about his war experiences not understanding that a man cannot talk of such things an old schoolmaster lectures him about strategy and advancing to paris while insisting that paul and his friends know only their own little sector of the war but nothing of the big picture indeed the only person he remains connected to is his dying mother with whom he shares a tender yet restrained relationship the night before he is to return from leave he stays up with her exchanging small expressions of love and concern for each other he thinks to himself ah mother mother how can it be that i must part from you here i sit and there you are lying we have so much to say and we shall never say it in the end he concludes that he ought never to have come home on leave paul feels glad to be reunited with his comrades soon after he volunteers to go on a patrol and kills a man for the first time in hand to hand combat he watches the man die in pain for hours he feels remorse and asks forgiveness from the mans corpse he is devastated and later confesses to kat and albert who try to comfort him and reassure him that it is only part of the war they are then sent on what paul calls a good job they must guard a village that is being shelled too heavily the men enjoy themselves but while evacuating the villagers paul and albert are wounded they recuperate in a catholic hospital and paul returns to active duty by now the war is nearing its end and the german army is retreating in despair paul watches as his friends fall one by one it is the death of kat that eventually makes paul careless about living in the final chapter he comments that peace is coming soon but he does not see the future as bright and shining with hope paul feels that he has no aims left in life and that their generation will be different and misunderstood when he finally dies at the end of the novel the situation report from the frontline states all is quiet on the western front symbolizing the cheapness of human life in war
A Wizard of Earthsea,Ursula K. Le Guin,ged is a young boy on gont one of the larger islands in the north of the archipelago of earthsea his mother is dead his much older siblings have all left home and his father is a dour taciturn bronzesmith with nothing in common with his son so the boy grows up wild and headstrong ged discovers by accident that he has an extraordinary talent for magic his aunt the village witch teaches him the little she herself knows but his power far exceeds hers one day he uses his talent and a fog gathering spell he learned from a passing weatherworker to save his village from karg raiders the tale of his remarkable feat spreads far and wide finally reaching the ear of a wise gontish mage ogion the silent he recognizes that the boy is so powerful he must be trained so as not to become a danger to himself and others in the rite of passage into adulthood he gives the boy his true name ged and takes him as an apprentice in this world a magician who knows someones true name has control over that person so ones true name is revealed only to those whom one trusts completely normally a person is referred to by his or her use name geds is sparrowhawk the undisciplined young man grows restless under the gentle patient tutelage of his master one day at the taunting of the daughter of the local lord who it is later revealed is also a witch ged seeks a powerful spell from one of ogions old books to impress the girl as he reads the spell to his horror a shadowy being manifests the shade advances on ged but is driven away by the timely return of ogion ogion finally gives him a choice stay with him or go to the renowned school for wizards on the island of roke though he has grown to love the old man the youngster is drawn irresistibly to a life of doing rather than being at the school ged masters his craft with ease but his pride and arrogance grow even faster than his skill and in his hubris he attempts to summon a dead spirit a perilous spell which goes awry the shadow seizes the chance to escape into the world and attacks him scarring his face it is driven off by the head of the school the archmage nemmerle who expends all of his power in the process and dies shortly thereafter ged is wracked with guilt at causing the old mans death but after a painful and slow recovery he graduates from the school normally rokes wizards are much sought after by princes and rich merchants but the new archmage sends a willing ged to a poor island group instead to protect the inhabitants from a powerful dragon and its maturing sons who have been seen scouting the region ged eventually realizes that he cannot both defend the islanders against the dragon and himself against the nameless thing he summoned into the world he takes a desperate gamble in the old histories he has found the true name of a dragon which might be the one he faces his guess is right and by using the dragons name yevaud he is able to force the dragon to vow that neither it nor its offspring will ever trouble the islanders then with no idea how to deal with his other foe ged tries to return to the safety of roke but the magical protective mage wind drives away the ship on which he is a passenger on the far northern island of osskil his nemesis takes possession of a man and nearly catches him ged flees to what appears to be a safe haven in the castle of benderesk the lord of terranon serret his wife is the same girl who taunted ged years ago she tries to enslave ged using the power of a stone which harbors one of the nameless ones ancient malevolent powers that predate people fortunately ged realizes his peril just in time and flies away in the form of a falcon he instinctively returns to gont and ogion who advises him to turn the tables on his shadow in following his masters wise guidance the roles of ged and his enemy become reversed and the shadow becomes the hunted ged pursues the shadow southwards across the ocean but is nearly drowned when the shadow lures him into steering his boat onto rocks the vessel sinks but he manages to reach a small island inhabited by only two old people a kargish man and his sister who were abandoned there as children and who have forgotten there is an outside world and other people despite their initial fear of him they provide him with food and water after ged regains his strength he constructs another boat when he is ready to leave he offers to take the pair wherever they want to go but the man fearfully turns him down and the woman does not seem to understand what he means however she gives him a parting gift of one of her few possessions a broken half of an armlet the siblings story and the gifts significance are revealed in the sequel the tombs of atuan back at sea the shadow nearly takes ged unawares but he senses it just in time and comes to grips with it forging a bond that cannot be broken ged follows the shadow south on the island of iffish his luck begins to improve the resident wizard is vetch true name estarriol the only friend he made at school estarriol insists on accompanying him the two wizards eventually leave behind the last known island of earthsea and head out into the open sea as they draw closer to the shadow ged perceives the water gradually congealing and turning into land an immensely powerful magic though vetch cannot see the transformation the boat runs aground ged steps out of the boat and walks off to confront his waiting shadow though some of his teachers had thought it to be nameless ged and his adversary speak at the same moment each naming the other ged the two embrace and become one the sea returns to its normal state fortunately estarriol is able to fish his healed friend out of the water
Blade Runner 3: Replicant Night,K. W. Jeter,living on mars deckard is acting as a consultant to a movie crew filming the story of his blade runner days he finds himself drawn into a mission on behalf of the replicants he was once assigned to kill meanwhile the mystery surrounding the beginnings of the tyrell corporation is being dragged out into the light
Blade Runner 2: The Edge of Human,K. W. Jeter,beginning several months after the events in blade runner deckard has retired to an isolated shack outside the city taking the replicant rachael with him in a tyrell transport container which slows down the replicant aging process he is approached by a woman who explains she is sarah tyrell niece of eldon tyrell heiress to the entire tyrell corporation and the human template templant for the rachael replicant she asks deckard to hunt down the missing sixth replicant at the same time the human template for roy batty hires dave holden the blade runner attacked by leon to help him hunt down the man he believes is the sixth replicant deckard deckard and holdens investigations lead them to re visit sebastian bryant and john isidore from the book do androids dream of electric sheep learning more about the nature of the blade runners and the replicants when deckard batty and holden finally clash battys inhuman fighting prowess leads holden to believe he has been duped all along and that batty is the sixth replicant he shoots him deckard returns to sarah with his suspicion there is no sixth replicant sarah speaking via a remote camera confesses that she created and maintained the rumor herself to deliberately discredit and eventually destroy the tyrell corporation after her uncle eldon created rachael based on her and then abandoned the real sarah sarah brings rachael back to the corporation building to meet with deckard and he escapes with her however holden recovering from his injuries during the fight later finds the truth rachael has been killed by tyrell agents and the rachael who escaped with deckard was actually sarah she has completed her revenge by both destroying tyrell and taking back rachaels place
Book of Job,,the book of job tells the story of an extremely righteous man named job who is very prosperous and has seven sons and three daughters constantly fearing that his sons may have sinned and cursed god in their hearts he habitually offers burnt offerings as a pardon for their sins the sons of god and satan literally the adversary present themselves to god and god asks satan his opinion on job satan answers that job is pious only because god has put a wall around him and blessed his favourite servant with prosperity but if god were to stretch out his hand and strike everything that job had then he would surely curse god god gives satan permission to test jobs righteousness all jobs possessions are destroyed yoke of oxen and donkeys carried off by sabeans sheep burned up by the fire of god which fell from the sky camels stolen by the chaldeans and the house of the firstborn destroyed by a mighty wind killing jobs ten children still job does not curse god but instead shaves his head tears his clothes and says naked i came out of my mothers womb and naked shall i return lord has given and lord has taken away blessed be the name of lord as job endures these calamities without reproaching god satan solicits permission to afflict his person as well and god says behold he is in your hand but dont touch his life satan therefore smites him with dreadful boils and job seated in ashes scrapes his skin with broken pottery his wife prompts him to curse god and die but job answers you speak as one of the foolish speaks moreover shall we receive good from god and shall not receive evil three friends of job eliphaz the temanite bildad the shuhite and zophar the naamathite come to console him a fourth elihu the buzite heb alieua ben barakal the buzite begins talking in chapter and plays a significant role in the dialogue but his arrival is not described the friends spend seven days sitting on the ground with job without saying anything to him because they see that he is suffering and in much pain job at last breaks his silence and curses the day he was born god responds saying that there are so many things job does not know about how this world was formed or how nature works that job should consider god as being greater than the thunderstorm and strong enough to pull in the leviathan with a fish hook god then rebukes the three friends and says i am angry with you you have not spoken of me what is right the story ends with job restored to health with a new family and twice as much livestock
Crash,J. G. Ballard,the story is told through the eyes of narrator james ballard named after the author himself but it centers on the sinister figure of dr robert vaughan a former tv scientist turned nightmare angel of the expressways ballard meets vaughan after being involved in a car accident himself near london airport gathering around vaughan is a group of alienated people all of them former crash victims who follow him in his pursuit to re enact the crashes of celebrities and experience what the narrator calls a new sexuality born from a perverse technology vaughan s ultimate fantasy is to die in a head on collision with movie star elizabeth taylor
Children of Dune,Frank Herbert,nine years after emperor paul muaddib walked into the desert blind the ecological transformation of dune has reached the point where some fremen are living without stillsuits in the less arid climate and have started to move out of the sietches and into the villages and cities as the old ways erode more and more pilgrims arrive to experience the planet of muaddib the imperial high council has lost the political initiative and is powerless to control the jihad pauls twin young children leto ii and ghanima sharing his prescience have concluded that their guardian alia has succumbed to possession by one of her ancestors and fear that a similar fate awaits them they and alia also realize that the terraforming of dune will kill all the sandworms thus destroying the source of the spice leto also fears that like his father he will be trapped by his prescience possessed by the persona of her grandfather baron vladimir harkonnen alia fears that her mother about to return to arrakis will recognize her abomination a new religious figure called the preacher has risen in the desert railing against the religious governments injustices and the changes among the fremen some fremen believe he is paul atreides the fallen house corrino on salusa secundus plots to assassinate the twins and regain power lady jessica returns to arrakis and recognizes that her daughter has been possessed but finds no signs of abomination in the twins she plans with them to thwart alias plotting leto arranges for fremen leader stilgar to protect his sister if there is an attempt on their lives alia attempts to assassinate jessica who escapes into the desert with duncan idahos help precipitating a rebellion among the fremen the twins anticipate and survive the corrino assassination plot leto leaves to seek out the preacher while ghanima masking her memory with self hypnosis reports falsely that her brother had been murdered duncan and jessica flee to salusa secundus where jessica begins to mentor the corrino heir faradn he seizes power from his regent mother and allies with the bene gesserit who promise to marry him to ghanima and support his bid for coronation as emperor a band of fremen outlaws capture leto and force him to undergo the spice trance at the suggestion of one of alias agents who has infiltrated the group his spice induced visions show him a myriad of possible futures where humanity has become extinct and only one where humanity survives he names this future the golden path and resolves to bring it to fruition he escapes his captors and sacrifices his humanity in pursuit of the golden path this requires him to physically fuse with a school of sandtrout gaining superhuman strength and near invulnerability he travels across the desert and confronts the preacher who does in fact prove to be his father paul atreides duncan idaho returns to arrakis and provokes stilgar into killing him with stilgars neutrality now untenable he seizes ghanima and flees alia recaptures ghanima and arranges her marriage to faradn planning to exploit the expected chaos when ghanima kills him to avenge her brothers murder the preacher and leto return to the capital to confront alia who has the preacher murdered revealing his true identity leto reveals himself in a display of superhuman strength and triggers the return of ghanimas genuine memories he confronts alia and offers to help her overcome her possession but she is overwhelmed by her ancestral personae and elects to commit suicide leto declares himself emperor and asserts control over the fremen faradn enlists in his service and delivers control of the corrino armies the seemingly immortal and omnipotent leto is left as emperor of the known universe with ghanima at his side
